assessed_at,food,temperature,storage_hours,expiry_days,cooling_status
2026-09-04 07:30,Sour cream,3.6,48.0,12.0,Operating normally
2026-09-04 08:00,Ground beef,2.8,14.0,1.5,Operating normally
2026-09-04 08:30,Beef steak,3.0,20.0,3.5,Operating normally
2026-09-04 09:00,Yogurt,3.6,66.0,4.5,Operating normally
2026-09-04 09:30,Cottage cheese,3.5,40.0,5.5,Operating normally
2026-09-04 10:00,Frozen meat,-21.5,144.0,25.0,Operating normally
2026-09-04 10:30,Frozen seafood,-21.0,120.0,55.0,Operating normally
2026-09-04 11:00,Ice cream,-20.0,120.0,26.0,Operating normally
2026-09-04 12:00,Soft cheese,3.5,36.0,5.5,Operating normally
2026-09-04 13:00,Bacon,3.8,48.0,5.0,Operating normally
2026-09-04 14:00,Fresh pasta,3.2,24.0,3.0,Operating normally
2026-09-04 15:00,Cooked beans & lentils,3.5,20.0,3.5,Operating normally
2026-09-04 16:00,Pork,3.4,30.0,3.0,Operating normally
2026-09-04 17:00,Fresh herbs,3.8,36.0,5.5,Operating normally
2026-09-04 18:00,Mushrooms,3.8,48.0,5.0,Operating normally
2026-09-04 19:00,Broccoli & cauliflower,3.6,30.0,5.5,Operating normally
2026-09-04 20:00,Butter,4.0,120.0,26.0,Operating normally
2026-09-05 06:00,Milk,3.6,108.0,2.5,Operating normally
2026-09-05 06:30,Eggs,3.8,120.0,16.0,Operating normally
2026-09-05 07:00,Turkey,3.0,20.0,1.5,Operating normally
2026-09-05 07:30,Chicken,3.2,28.0,1.5,Operating normally
2026-09-05 08:00,Cut fruit,4.8,30.0,1.5,Operating normally
2026-09-05 08:30,Cut melons (cantaloupe/watermelon),4.5,28.0,1.5,Operating normally
2026-09-05 09:00,Mayonnaise (opened),4.0,240.0,50.0,Operating normally
2026-09-05 10:00,Leafy vegetables,5.2,80.0,3.0,Operating normally
2026-09-05 10:30,Spinach & salad mix,5.0,72.0,2.0,Operating normally
2026-09-05 12:00,Fish,1.4,28.0,1.5,Operating normally
2026-09-05 12:30,Tuna steak,1.6,26.0,1.5,Operating normally
2026-09-05 14:00,Shrimp,1.8,26.0,1.5,Operating normally
2026-09-05 15:00,Crab meat,1.5,24.0,1.5,Operating normally
2026-09-05 16:00,Cooked rice,3.6,48.0,2.0,Operating normally
2026-09-05 17:00,Cooked pasta,3.4,44.0,2.0,Operating normally
2026-09-05 18:00,Soup or stew,4.2,24.0,3.0,Operating normally
2026-09-05 19:00,Pizza leftovers,3.8,36.0,2.5,Operating normally
2026-09-05 20:00,Tofu,3.4,48.0,5.0,Operating normally
2026-09-05 20:30,Tempeh,3.5,60.0,7.5,Operating normally
2026-09-06 06:00,Milk,4.2,132.0,1.5,Operating normally
2026-09-06 06:30,Chicken,4.0,42.0,0.5,Operating normally
2026-09-06 07:00,Fish,1.6,40.0,0.8,Operating normally
2026-09-06 07:30,Ground beef,3.2,34.0,0.5,Operating normally
2026-09-06 08:00,Deli meat,6.2,80.0,0.8,Operating normally
2026-09-06 09:00,Cooked food,3.8,70.0,1.0,Operating normally
2026-09-06 10:00,Prepared sandwich,5.8,68.0,0.2,Operating normally
2026-09-06 11:00,Tofu,3.8,72.0,4.0,Operating normally
2026-09-06 12:00,Berries,6.0,96.0,0.8,Unknown / not checked
2026-09-06 13:00,Leafy vegetables,4.5,110.0,2.0,Operating normally
2026-09-06 14:00,Frozen meat,-19.0,216.0,22.0,Operating normally
2026-09-06 15:00,Frozen poultry,-19.5,192.0,80.0,Operating normally
2026-09-06 16:00,Ice cream,-18.5,192.0,23.0,Operating normally
2026-09-06 17:00,Soft cheese,4.2,84.0,3.5,Operating normally
2026-09-06 18:00,Hard cheese,4.0,168.0,23.0,Operating normally
